Time,Voltage
1.399399399,12.10433303
1.405405405,12.10323864
1.411411411,12.10216547
1.417417417,12.10111317
1.423423423,12.10008142
1.429429429,12.0990699
1.435435435,12.09807828
1.441441441,12.09710625
1.447447447,12.09615348
1.453453453,12.09521968
1.459459459,12.09430452
1.465465465,12.0934077
1.471471471,12.09252891
1.477477477,12.09166785
1.483483483,12.09082423
1.489489489,12.08999774
1.495495495,12.0891881
1.501501502,12.088395
1.507507508,12.08761817
1.513513514,12.08685731
1.51951952,12.08611214
1.525525526,12.08538238
1.531531532,12.08466776
1.537537538,12.083968
1.543543544,12.08328282
1.54954955,12.08261196
1.555555556,12.08195514
1.561561562,12.08131211
1.567567568,12.0806826
1.573573574,12.08006635
1.57957958,12.0794631
1.585585586,12.0788726
1.591591592,12.0782946
1.597597598,12.07772884
1.603603604,12.07717509
1.60960961,12.07663309
1.615615616,12.0761026
1.621621622,12.07558338
1.627627628,12.0750752
1.633633634,12.07457782
1.63963964,12.07409101
1.645645646,12.07361453
1.651651652,12.07314817
1.657657658,12.0726917
1.663663664,12.07224489
1.66966967,12.07180752
1.675675676,12.07137937
1.681681682,12.07096024
1.687687688,12.0705499
1.693693694,12.07014815
1.6996997,12.06975477
1.705705706,12.06936957
1.711711712,12.06899233
1.717717718,12.06862286
1.723723724,12.06826096
1.72972973,12.06790642
1.735735736,12.06755906
1.741741742,12.06721869
1.747747748,12.0668851
1.753753754,12.06655812
1.75975976,12.06623756
1.765765766,12.06592323
1.771771772,12.06561496
1.777777778,12.06531256
1.783783784,12.06501586
1.78978979,12.06472469
1.795795796,12.06443886
1.801801802,12.06415822
1.807807808,12.06388259
1.813813814,12.0636118
1.81981982,12.0633457
1.825825826,12.06308412
1.831831832,12.0628269
1.837837838,12.06257388
1.843843844,12.06232491
1.84984985,12.06207983
1.855855856,12.0618385
1.861861862,12.06160076
1.867867868,12.06136647
1.873873874,12.06113548
1.87987988,12.06090764
1.885885886,12.06068282
1.891891892,12.06046088
1.897897898,12.06024168
1.903903904,12.06002508
1.90990991,12.05981095
1.915915916,12.05959916
1.921921922,12.05938959
1.927927928,12.05918209
1.933933934,12.05897655
1.93993994,12.05877285
1.945945946,12.05857086
1.951951952,12.05837045
1.957957958,12.05817153
1.963963964,12.05797395
1.96996997,12.05777763
1.975975976,12.05758243
1.981981982,12.05738825
1.987987988,12.05719499
1.993993994,12.05700253
2,12.05681076
2.006006006,12.0566196
2.012012012,12.05642892
2.018018018,12.05623865
2.024024024,12.05604866
2.03003003,12.05585888
2.036036036,12.0556692
2.042042042,12.05547954
2.048048048,12.05528979
2.054054054,12.05509988
2.06006006,12.05490972
2.066066066,12.05471921
2.072072072,12.05452827
2.078078078,12.05433682
2.084084084,12.05414479
2.09009009,12.05395209
2.096096096,12.05375863
2.102102102,12.05356436
2.108108108,12.05336919
2.114114114,12.05317304
2.12012012,12.05297586
2.126126126,12.05277756
2.132132132,12.05257808
2.138138138,12.05237735
2.144144144,12.05217532
2.15015015,12.0519719
2.156156156,12.05176705
2.162162162,12.05156071
2.168168168,12.0513528
2.174174174,12.05114328
2.18018018,12.05093209
2.186186186,12.05071917
2.192192192,12.05050448
2.198198198,12.05028795
2.204204204,12.05006955
2.21021021,12.04984922
2.216216216,12.04962691
2.222222222,12.04940257
2.228228228,12.04917617
2.234234234,12.04894766
2.24024024,12.048717
2.246246246,12.04848415
2.252252252,12.04824906
2.258258258,12.04801171
2.264264264,12.04777205
2.27027027,12.04753005
2.276276276,12.04728567
2.282282282,12.04703889
2.288288288,12.04678967
2.294294294,12.04653798
2.3003003,12.04628379
2.306306306,12.04602708
2.312312312,12.04576782
2.318318318,12.04550599
